id,timestamp,hypothesis,change,data_version,code_version,environment,seed_or_workload,metric_local,metric_remote,runtime,memory,status,artifact,notes
TF-SMOKE-001,2026-07-31,"Profiler reconstructs released forward and completes fair DC/AC fits","Diagnostic only; MTD block0 reduced workload","prompts 0 and 2; holdout 2; progress 5","33fbd78345413ee09cf9daa175dcabd714947901653e294e824ca4aeaad6bf5c","remote conda qvdit; GPU2","seed42; max trajectories4","reconstruction 0; all values finite",NA,"about 5 min","shared GPU; peak not isolated",valid,"logs_fp16_flash/stage_numeric_profiling/temporal_frequency_smoke_mtd_gpu2_0801","L2 plumbing passed; screening result negative"
TF-MTD-001,2026-07-31,"DC/AC rank1x2 beats equal-parameter shared rank2 on held-out MTD residuals","Diagnostic only; full frozen matrix","prompts 0,2,6; holdout 6; seven progress points","33fbd78345413ee09cf9daa175dcabd714947901653e294e824ca4aeaad6bf5c","remote conda qvdit; GPU2","seed42; blocks 0,9,17,27; trajectories16","DC1+AC1 total gain vs shared2 -424.39%",NA,"about 6 min","shared GPU; peak not isolated",valid,"logs_fp16_flash/stage_numeric_profiling/temporal_frequency_mtd_prompts026_gpu2_0801","Exact reconstruction 0; hypothesis falsified"
TF-BASE-001,2026-07-31,"Frequency structure is not an artifact unique to MTD","Diagnostic only; baseline checkpoint full frozen matrix","prompts 0,2,6; holdout 6; seven progress points","33fbd78345413ee09cf9daa175dcabd714947901653e294e824ca4aeaad6bf5c","remote conda qvdit; GPU2","seed42; blocks 0,9,17,27; trajectories16","DC1+AC1 total gain vs shared2 -97.03%",NA,"about 6 min","shared GPU; peak not isolated",valid,"logs_fp16_flash/stage_numeric_profiling/temporal_frequency_baseline_prompts026_gpu2_0801","Exact reconstruction 0; confirms structural failure"
CS-SMOKE-001,2026-07-31,"Complementary-subspace profiler exactly reconstructs released forward and completes rank controls","Diagnostic only; MTD block0 reduced workload","prompts 0 and 2; holdout 2; progress 5","a1d9e690bc34b04fcb4428e23a03f7ac60f369f2a44735dc550d7fb10061ee88","remote conda qvdit; GPU2","seed42; max trajectories4","reconstruction 0; parallel cosine about 1; orthogonal inner product about 4.8e-9; all finite",NA,"about 1 min","shared GPU; peak not isolated",valid,"logs_fp16_flash/stage_numeric_profiling/wout_complement_smoke_mtd_gpu2_0801","L1/L2 plumbing and geometry sanity passed; decision hash 65da4d31164f6d4cc321a84d1c8a62556c4e8b86d2d2b1859e56ae1fcd0d1b2f"
CS-MTD-001,2026-07-31,"Released rank1 Wout misses a stable orthogonal output direction","Diagnostic only; full frozen complementary-subspace matrix","prompts 0,2,6; holdout 6; seven progress points","a1d9e690bc34b04fcb4428e23a03f7ac60f369f2a44735dc550d7fb10061ee88","remote conda qvdit; GPU2","seed42; blocks 0,9,17,27; trajectories16","orthogonal rank1 local gain 18.70%; retention 77.85%; structured rank2 retention 75.85%; FP-trajectory AC gain -5.49%",NA,"about 7 min","shared GPU; peak not isolated",valid,"logs_fp16_flash/stage_numeric_profiling/wout_complement_mtd_prompts026_gpu2_0801","Exact reconstruction 0; frozen gate failed; decision hash a123a4fad4efbba5e332851cc48badb9eb18b15d3ada068cad1089f6c3457f3f"
CS-BASE-001,2026-07-31,"Complementary direction is structural rather than MTD-specific","Diagnostic only; baseline checkpoint full frozen matrix","prompts 0,2,6; holdout 6; seven progress points","a1d9e690bc34b04fcb4428e23a03f7ac60f369f2a44735dc550d7fb10061ee88","remote conda qvdit; GPU2","seed42; blocks 0,9,17,27; trajectories16","orthogonal rank1 local gain 32.25%; retention 76.03%; structured rank2 retention 81.49%; FP-trajectory AC gain -7.53%",NA,"about 7 min","shared GPU; peak not isolated",valid,"logs_fp16_flash/stage_numeric_profiling/wout_complement_baseline_prompts026_gpu2_0801","Exact reconstruction 0; confirms gate failure and motion risk; decision hash adb0c21b0f4a306da307294137c9dbc835dad4b78dc8f200e74c2a3fbf16baf6"
AMTD-L0-001,2026-08-04,"Adaptive diagnostic equations and shapes are compatible with released pooled MTD features","Add separate diagnostic module and CLI; do not modify qdiff/mtd.py","synthetic and unit-test tensors","090bb54f2810f2d118991f5be73d2bc3db98bdb897d568a0378d5056e732e814","local and remote qvdit CPU environments","17 remote deterministic tests","17/17 remote tests passed; 13/13 local focused tests passed",NA,"under 12 seconds remote","CPU only",valid,"tests/test_mtd_adaptive_diagnostics.py","Covers invalid shapes, identical FP/Q zero loss, proxy ranking, displacement outside 3x3, and complete centred-window refinement"
AMTD-L1-001,2026-08-04,"A known two-token displacement should be missed by same-centre 3x3 and recovered by equal-budget adaptive candidates","Synthetic horizontal shift of two 16-channel grid cells; student adds Gaussian noise","1 synthetic 8x8 two-frame feature pair","090bb54f2810f2d118991f5be73d2bc3db98bdb897d568a0378d5056e732e814","local CPU","seed7; radius2; top9; temperature0.03","top1 outside 3x3 89.06%; mass outside 88.31%; adaptive candidate recovery passed",NA,"under 1 second","CPU only",valid,"terminal output; reproducible command in handoff","Hand-checkable mechanism sanity only; not evidence on model features"
AMTD-L2-001,2026-08-04,"Real paired FP/Q features contain useful correspondence outside fixed 3x3 and/or predictable high-loss spatial positions","Run flow-free fixed/top9/coarse-centred/random diagnostic","one giraffe translation prompt; 12 progress points; MTD and baseline checkpoints; conditional and guided views","090bb54f2810f2d118991f5be73d2bc3db98bdb897d568a0378d5056e732e814","remote conda qvdit on 10.137.144.48","seed42; radius2; top9; temperature0.07","outside mass/top1 about 61%; centred 3x3 improves aggregate KL 11.34%-24.76% and motion 26.79%-34.47%; all 12/12 captures improve; FP/Q-error proxy rho 0.262-0.441 and top25 lift 1.533-1.853",NA,"about 25-30 seconds per view with four CPU threads","artifact analysis only",valid,"logs_fp16_flash/stage_numeric_profiling/adaptive_mtd_candidates_v1","Candidate and FP/Q-error importance gates pass on one prompt; top9-only fails KL; multi-prompt confirmation required"
AMTD-L2-002A,2026-08-04,"Fresh multi-prompt capture reaches the selected profiling step","Initial prompts0,2,6 capture with prompt text used as feature-directory component","t2v_samples_10 prompts0,2,6","pre-path-fix mtd_feature_profiler","remote conda qvdit; physical GPU2","seed42; stopped at prompt0 progress25","no feature artifact written",NA,"about 1 minute sampling plus model load","one GPU",invalid,"adaptive_mtd_l2_runner.log","Feature directory component exceeded filesystem filename limit; fixed with bounded safe name plus stable hash"
AMTD-L2-002B,2026-08-04,"Bounded feature names permit full fresh multi-prompt capture","Retry with bounded feature-directory names but prompt_as_path still enabled for video output","t2v_samples_10 prompts0,2,6","mtd_feature_profiler safe-name fix","remote conda qvdit; physical GPU2","seed42; prompt0 progress25,50,75","3 valid prompt0 feature captures; video save failed",NA,"about 5 minutes","one GPU",invalid,"logs_fp16_flash/adaptive_mtd_feature_capture_v1/features","Prompt0 feature artifacts are valid and retained; video filename exceeded limit; prompt_as_path removed"
